vendor_id,rate_code,passenger_count,trip_time_in_secs,trip_distance,payment_type,fare_amount,tip_amount
VTS,5,2,4620,58.34,CRD,228.0,46.67
VTS,1,1,60,0.08,CSH,3.0,0.0
CMT,1,1,412,2.7,CRD,9.5,2.62
CMT,1,1,398,0.7,CRD,6.0,1.5
CMT,1,1,1496,6.6,CRD,23.0,4.8
CMT,1,1,1161,4.9,CRD,18.5,1.25
CMT,1,1,376,1.4,CRD,7.0,2.4
VTS,1,5,600,5.55,CSH,17.0,0.0
VTS,1,5,240,0.83,CSH,5.0,0.0
VTS,1,5,180,0.46,CSH,4.0,0.0
VTS,1,5,420,1.62,CSH,8.0,0.0
VTS,1,5,660,1.95,CRD,9.5,2.85
VTS,1,5,420,1.74,CSH,8.0,0.0
VTS,1,5,180,0.52,CSH,4.0,0.0
VTS,2,5,1860,18.19,CRD,52.0,10.4
CMT,1,1,152,0.6,CRD,4.5,1.1
CMT,1,1,896,1.2,CSH,10.5,0.0
CMT,1,4,557,2.9,CRD,10.5,2.3
CMT,1,1,195,0.6,CRD,4.5,1.1
CMT,1,1,1292,5.3,CRD,19.5,2.5
CMT,1,5,1790,13.2,CSH,38.0,0.0
CMT,1,1,249,0.8,CSH,5.0,0.0
CMT,1,1,284,1.0,CRD,5.5,1.3
CMT,1,1,847,1.3,CRD,10.5,1.5
CMT,1,1,120,0.4,CRD,3.5,1.0
CMT,1,2,325,1.4,CSH,6.5,0.0
CMT,1,2,240,0.8,CRD,5.0,1.0
CMT,1,1,106,0.3,CSH,3.5,0.0
CMT,1,1,2978,10.3,CRD,42.0,5.0
CMT,1,3,735,1.5,CSH,9.0,0.0
CMT,1,1,873,2.4,CRD,11.5,2.5
CMT,1,1,275,1.4,CRD,6.5,2.0
CMT,1,2,442,1.3,CRD,7.0,2.0
CMT,1,1,1107,3.4,CSH,14.5,0.0
CMT,1,1,1636,1.5,CSH,16.5,0.0
CMT,1,1,1827,6.3,CSH,24.5,0.0
CMT,1,1,1407,3.9,CRD,18.0,2.5
CMT,1,1,991,1.8,CRD,12.0,2.5
CMT,1,1,478,1.2,CRD,7.5,1.0
CMT,1,2,2227,9.2,CSH,33.5,0.0
CMT,1,1,222,0.7,CRD,5.0,0.5
CMT,1,1,343,0.5,CSH,5.5,0.0
CMT,1,1,497,1.3,CRD,7.5,1.6
CMT,1,1,567,1.5,CRD,8.0,1.7
CMT,1,1,1412,5.7,CSH,21.0,0.0
CMT,1,2,687,2.0,CRD,10.0,2.75
CMT,1,2,1004,1.3,CSH,11.0,0.0
CMT,1,1,698,2.9,CRD,12.5,3.5
CMT,1,1,178,0.4,CSH,4.0,0.0
CMT,1,1,369,2.6,CRD,9.5,1.0
CMT,1,1,1391,3.6,CRD,17.0,3.7
CMT,1,1,1217,4.0,CSH,16.5,0.0
CMT,1,1,824,3.7,CSH,14.0,0.0
CMT,1,1,186,0.5,CSH,4.5,0.0
CMT,1,2,1208,4.1,CRD,16.5,3.5
CMT,1,2,825,2.9,CSH,12.5,0.0
CMT,1,1,602,2.6,CSH,10.5,0.0
CMT,1,2,206,0.8,CRD,5.0,1.8
CMT,1,1,1713,12.2,CSH,36.0,0.0
CMT,1,1,255,0.4,CSH,4.5,0.0
CMT,1,1,1459,4.3,CRD,18.5,3.0
CMT,1,3,588,1.8,CSH,8.5,0.0
CMT,1,1,494,2.9,CRD,11.0,3.0
CMT,1,2,435,0.8,CSH,6.5,0.0
CMT,1,1,428,2.0,CSH,8.5,0.0
CMT,1,1,465,2.7,CSH,10.0,0.0
CMT,1,1,1664,7.0,CRD,24.5,5.1
CMT,1,1,616,2.1,CRD,9.5,1.5
CMT,1,2,180,0.4,CSH,4.0,0.0
CMT,1,1,448,1.6,CSH,7.5,0.0
CMT,1,1,441,1.8,CRD,8.0,1.0
CMT,1,1,1671,6.8,CSH,27.0,0.0
VTS,1,6,540,1.8,CRD,8.5,1.0
VTS,1,6,360,0.73,CRD,5.5,1.5
VTS,1,6,300,1.05,CRD,6.0,1.62
VTS,1,6,660,3.48,CRD,12.0,1.5
VTS,1,6,3120,5.38,CSH,33.5,0.0
VTS,1,6,1320,6.49,CRD,22.0,5.75
VTS,1,6,480,1.67,CSH,8.5,0.0
VTS,1,1,300,1.12,CRD,5.5,1.1
VTS,1,1,780,1.09,CSH,9.5,0.0
VTS,1,1,480,1.06,CSH,7.0,0.0
VTS,1,1,1020,10.32,CRD,28.5,6.77
VTS,1,1,600,3.81,CSH,13.5,0.0
VTS,1,1,1800,7.45,CRD,27.0,6.75
CMT,1,1,701,2.2,CRD,10.5,2.3
CMT,1,1,287,0.8,CRD,5.5,1.3
CMT,1,1,696,2.2,CSH,10.0,0.0
CMT,1,1,1719,1.6,CSH,17.5,0.0
CMT,1,1,759,3.0,CSH,12.5,0.0
CMT,1,4,598,0.9,CSH,7.5,0.0
CMT,1,1,1065,0.5,CSH,6.5,0.0
CMT,1,1,269,1.1,CRD,5.5,1.3
CMT,1,1,406,1.5,CRD,7.5,1.7
CMT,1,3,1023,2.4,CRD,12.5,2.8
CMT,1,1,2716,12.3,CRD,37.5,0.0
CMT,1,1,1226,4.9,CRD,18.5,2.0
CMT,1,1,1100,4.5,CSH,17.0,0.0
VTS,1,5,240,0.77,CSH,5.0,0.0
VTS,1,5,720,1.71,CSH,9.5,0.0
VTS,1,5,2400,5.51,CSH,27.0,0.0
VTS,1,5,1260,3.14,CSH,15.5,0.0
VTS,1,5,480,1.27,CSH,7.5,0.0
VTS,1,5,360,1.14,CRD,6.5,1.62
VTS,1,5,1320,5.36,CSH,20.0,0.0
CMT,1,4,439,0.7,CRD,6.0,0.0
CMT,1,1,568,1.4,CRD,8.0,2.25
CMT,1,1,495,2.8,CRD,10.5,0.0
CMT,1,2,1597,14.2,CSH,40.0,0.0
CMT,1,1,539,0.1,CSH,3.0,0.0
CMT,1,1,205,0.6,CRD,4.5,1.0
CMT,1,1,518,1.8,CRD,8.5,2.0
CMT,1,1,1202,15.3,CSH,41.5,0.0
CMT,1,1,596,2.0,CRD,9.5,1.0
CMT,1,1,188,1.0,CSH,5.0,0.0
CMT,1,1,136,0.3,CSH,3.5,0.0
CMT,1,1,356,0.9,CRD,6.0,1.4
CMT,1,1,395,1.5,CRD,7.5,1.7
CMT,1,1,651,1.6,CSH,9.5,0.0
CMT,1,1,849,3.0,CRD,13.0,3.5
CMT,1,1,1633,2.4,CSH,17.0,0.0
CMT,1,1,539,0.9,CRD,7.0,1.87
CMT,1,1,1143,1.7,CSH,13.0,0.0
CMT,1,1,654,0.6,CRD,8.0,2.0
CMT,1,1,431,1.0,CRD,6.5,1.4
CMT,1,2,400,0.2,CRD,5.5,1.4
CMT,1,1,131,0.5,CRD,4.0,1.12
CMT,1,1,215,0.4,CRD,4.5,1.0
VTS,1,1,1860,3.5,CRD,20.0,4.0
VTS,1,1,1320,1.37,CRD,14.0,2.8
VTS,1,1,780,1.06,CSH,9.5,0.0
VTS,1,1,900,2.05,CRD,11.5,2.2
VTS,1,1,840,1.79,CRD,10.5,2.88
VTS,1,6,480,1.42,CRD,7.5,1.6
VTS,1,6,600,2.01,CRD,9.0,2.0
VTS,1,6,780,5.75,CRD,17.5,3.6
VTS,1,6,480,2.62,CRD,9.5,1.0
VTS,1,6,420,0.69,CSH,5.5,0.0
VTS,1,1,480,1.1,CSH,7.5,0.0
VTS,1,1,540,1.36,CSH,8.0,0.0
VTS,1,1,1080,4.79,CSH,19.0,0.0
VTS,1,1,1380,5.57,CRD,20.5,2.0
VTS,1,1,540,1.85,CRD,8.5,1.7
CMT,1,1,493,2.9,CRD,10.5,2.2
CMT,1,2,754,4.1,CRD,15.0,3.85
CMT,1,1,1012,5.3,CRD,19.0,3.9
CMT,1,3,263,1.0,CSH,5.5,0.0
CMT,1,2,481,1.6,CSH,8.0,0.0
CMT,1,2,255,0.4,CSH,4.5,0.0
CMT,1,1,587,2.3,CRD,9.5,2.0
CMT,1,1,599,0.7,CSH,7.5,0.0
CMT,1,1,1034,0.9,CRD,11.0,2.0
CMT,1,1,780,5.2,CSH,16.5,0.0
CMT,1,1,408,1.6,CSH,7.5,0.0
CMT,1,1,182,1.2,CSH,5.5,0.0
CMT,1,1,122,0.7,CRD,4.0,1.0
CMT,1,1,297,0.7,CSH,5.0,0.0
CMT,1,1,1882,13.2,CSH,40.0,0.0
CMT,1,1,706,2.6,CRD,10.5,3.45
VTS,1,1,780,2.91,CRD,11.5,0.0
VTS,1,1,240,0.56,CRD,5.0,1.1
VTS,1,1,780,1.62,CRD,10.0,1.0
VTS,1,1,1440,6.88,CRD,24.0,2.0
CMT,1,1,215,0.6,CSH,4.5,0.0
CMT,1,1,293,1.0,CRD,6.0,1.0
CMT,1,1,509,1.2,CRD,7.5,1.8
CMT,1,2,1362,5.2,CRD,19.5,4.1
CMT,1,1,153,0.4,CSH,4.0,0.0
CMT,1,1,1164,3.6,CSH,15.5,0.0
CMT,1,1,429,1.3,CRD,7.0,1.5
CMT,1,2,1003,3.1,CRD,14.0,2.9
CMT,1,2,449,0.8,CSH,6.5,0.0
CMT,1,1,326,0.6,CSH,5.5,0.0
CMT,1,1,1471,4.0,CSH,19.0,0.0
CMT,1,1,666,2.6,CSH,10.5,0.0
CMT,1,1,1149,1.9,CSH,13.0,0.0
CMT,1,1,352,1.0,CRD,6.5,1.4
CMT,1,1,704,1.2,CSH,8.5,0.0
CMT,1,1,497,1.1,CSH,7.0,0.0
CMT,1,1,1625,9.0,CRD,29.5,6.0
CMT,1,1,548,1.6,CRD,8.5,1.8
CMT,1,1,1111,1.2,CRD,12.0,1.0
VTS,1,1,2220,11.2,CSH,35.5,0.0
CMT,1,3,435,0.8,CSH,6.5,0.0
CMT,1,1,622,1.2,CRD,8.5,1.8
CMT,1,1,1139,6.3,CRD,21.0,5.5
CMT,1,1,670,3.1,CRD,11.5,1.0
CMT,1,2,761,1.9,CRD,10.5,1.5
CMT,1,2,1043,1.8,CSH,12.0,0.0
CMT,1,1,226,1.2,CRD,6.0,1.5
CMT,1,1,705,2.1,CRD,11.0,3.0
CMT,1,1,621,1.4,CRD,9.0,2.37
CMT,1,3,717,2.0,CRD,10.0,2.0
CMT,1,1,848,3.0,CSH,12.5,0.0
CMT,1,1,307,0.8,CSH,5.5,0.0
CMT,1,1,1367,8.5,CRD,26.5,4.0
CMT,1,1,371,1.4,CSH,7.0,0.0
CMT,1,1,467,1.0,CSH,7.0,0.0
CMT,1,1,1324,7.5,CSH,25.0,0.0
CMT,1,2,487,1.6,CRD,8.0,1.0
CMT,1,1,1051,1.7,CSH,12.0,0.0
CMT,1,1,713,2.8,CSH,11.0,0.0
CMT,1,1,1489,3.6,CRD,18.5,3.9
CMT,1,1,440,1.7,CRD,7.5,1.6
CMT,1,1,307,0.8,CRD,5.5,2.5
CMT,1,1,859,1.5,CRD,10.5,1.0
CMT,2,1,1869,16.0,CRD,52.0,11.55
CMT,1,1,1486,6.8,CRD,23.0,1.0
CMT,1,1,3531,23.3,CSH,69.5,0.0
CMT,1,1,708,1.7,CSH,9.5,0.0
CMT,1,1,886,3.1,CRD,13.0,2.0
CMT,1,1,233,0.8,CRD,5.0,1.35
CMT,1,1,1017,3.2,CRD,14.0,2.0
CMT,1,1,636,1.5,CSH,9.0,0.0
CMT,1,1,680,3.8,CRD,14.0,2.9
CMT,1,2,1568,10.3,CSH,32.0,0.0
CMT,1,1,1572,6.5,CRD,23.0,0.0
CMT,1,1,1518,3.5,CRD,18.0,3.7
CMT,1,1,1216,1.8,CSH,13.5,0.0
CMT,1,1,573,1.9,CSH,9.0,0.0
CMT,1,1,449,2.2,CRD,9.0,1.0
CMT,1,1,1568,5.4,CSH,22.0,0.0
CMT,1,4,2773,3.1,CSH,28.0,0.0
CMT,1,1,1689,5.7,CRD,23.5,6.12
CMT,1,1,1223,9.3,CRD,27.5,6.76
CMT,1,1,256,0.5,CSH,5.0,0.0
CMT,1,1,113,0.4,CRD,3.5,1.0
CMT,1,4,618,0.9,CSH,8.0,0.0
CMT,1,1,699,2.1,CRD,10.0,3.45
CMT,1,1,1440,6.8,CRD,23.0,4.8
CMT,1,1,303,1.2,CRD,6.0,1.5
CMT,1,1,445,1.9,CRD,8.0,1.0
CMT,1,2,737,2.3,CRD,11.0,2.4
CMT,1,3,310,1.0,CSH,6.0,0.0
CMT,1,2,464,1.1,CSH,7.0,0.0
CMT,1,1,232,1.1,CSH,6.0,0.0
CMT,1,1,399,0.9,CRD,6.0,1.0
CMT,1,2,241,0.7,CRD,5.0,1.2
CMT,1,2,378,0.9,CSH,6.5,0.0
CMT,1,1,1040,0.5,CSH,11.0,0.0
CMT,1,2,1432,2.4,CSH,16.0,0.0
CMT,1,3,3787,14.1,CSH,50.0,0.0
CMT,1,1,114,0.2,CSH,3.5,0.0
CMT,1,1,262,1.2,CRD,5.5,1.2
CMT,1,1,615,1.0,CRD,8.0,1.0
CMT,1,1,613,1.0,CSH,8.0,0.0
CMT,1,1,1067,2.1,CRD,12.5,2.6
VTS,1,1,1320,2.69,CRD,15.5,3.88
VTS,1,1,900,2.08,CRD,11.0,2.2
CMT,1,1,299,1.1,CSH,6.0,0.0
CMT,1,1,823,4.1,CRD,14.5,3.2
CMT,1,1,1493,2.9,CRD,17.0,2.0
CMT,1,1,1629,20.2,CSH,53.5,0.0
VTS,1,5,360,1.18,CSH,6.0,0.0
VTS,1,5,480,0.99,CRD,7.0,1.0
VTS,1,5,1440,2.77,CRD,16.5,3.3
VTS,1,5,300,0.79,CRD,5.5,1.0
VTS,1,5,660,2.32,CSH,10.0,0.0
VTS,1,5,240,1.08,CRD,5.5,1.1
VTS,1,5,120,0.6,CRD,4.0,1.2
VTS,1,5,1020,8.73,CRD,26.5,5.4
CMT,1,1,173,0.4,CSH,4.0,0.0
CMT,1,1,654,3.4,CSH,12.0,0.0
CMT,1,3,608,1.9,CRD,9.0,2.0
CMT,1,2,623,3.0,CSH,11.5,0.0
CMT,1,4,824,2.9,CSH,12.5,0.0
CMT,1,1,850,2.8,CRD,12.0,2.6
VTS,1,1,540,3.41,CRD,11.5,2.4
CMT,1,1,428,2.0,CRD,8.0,1.8
CMT,1,1,547,3.2,CSH,11.0,0.0
CMT,1,1,619,1.8,CRD,9.0,2.5
CMT,1,1,1040,2.9,CSH,13.0,0.0
CMT,1,1,887,4.5,CRD,15.5,3.3
CMT,1,1,850,2.8,CRD,12.5,0.02
CMT,1,1,141,0.5,CSH,4.0,0.0
CMT,1,1,1406,7.0,CRD,24.0,2.0
CMT,1,1,557,1.8,CRD,8.5,2.0
CMT,1,3,746,1.8,CSH,10.0,0.0
CMT,1,1,218,1.2,CRD,5.5,1.6
CMT,1,1,824,1.6,CSH,10.0,0.0
CMT,1,1,74,0.4,CRD,3.5,1.0
CMT,1,1,664,1.8,CRD,9.0,1.9
CMT,1,1,1573,3.0,CSH,17.5,0.0
CMT,1,1,491,1.9,CRD,9.0,1.0
CMT,1,1,493,0.8,CRD,7.0,1.5
CMT,1,1,404,2.2,CRD,9.0,1.0
CMT,1,1,545,1.9,CRD,8.5,2.35
CMT,1,2,624,2.9,CSH,11.0,0.0
CMT,1,1,334,1.3,CRD,6.5,1.5
CMT,1,3,403,1.3,CSH,7.0,0.0
CMT,1,2,787,2.7,CRD,11.5,3.75
CMT,1,2,1763,4.0,CSH,20.0,0.0
CMT,1,1,1842,17.2,CSH,50.0,0.0
CMT,1,1,523,1.5,CSH,8.0,0.0
CMT,1,1,775,1.8,CRD,10.0,2.3
CMT,1,3,1042,2.7,CSH,13.0,0.0
CMT,1,1,411,1.3,CRD,7.0,1.0
CMT,5,1,105,0.4,CRD,80.0,0.0
CMT,1,3,574,1.8,CSH,8.5,0.0
CMT,1,3,841,2.6,CSH,12.0,0.0
CMT,1,2,459,1.9,CSH,8.5,0.0
CMT,1,1,397,1.0,CRD,6.5,1.75
CMT,1,1,507,1.1,CSH,7.0,0.0
CMT,1,2,240,1.0,CSH,5.5,0.0
CMT,1,1,481,3.6,CSH,12.0,0.0
CMT,2,1,1441,17.0,CRD,52.0,2.0
CMT,1,1,1570,1.4,CSH,16.0,0.0
CMT,1,1,94,0.3,CSH,3.5,0.0
CMT,1,1,919,1.2,CRD,10.5,2.4
CMT,1,2,911,3.3,CSH,13.5,0.0
CMT,1,2,125,0.4,CSH,3.5,0.0
CMT,1,2,812,3.1,CSH,12.5,0.0
CMT,1,2,209,1.0,CSH,5.5,0.0
CMT,1,2,676,3.9,CSH,13.5,0.0
CMT,1,2,2351,11.1,CSH,37.0,0.0
CMT,1,4,866,4.3,CSH,15.5,0.0
CMT,1,1,669,1.5,CRD,9.0,2.0
CMT,1,2,573,2.6,CSH,10.5,0.0
CMT,1,3,347,0.4,CSH,5.5,0.0
CMT,1,1,1677,4.9,CRD,20.5,2.0
CMT,1,1,801,1.5,CSH,10.0,0.0
CMT,1,1,808,1.5,CSH,10.0,0.0
CMT,1,2,591,0.8,CSH,7.5,0.0
CMT,1,1,792,1.1,CSH,10.0,0.0
CMT,1,1,219,0.6,CSH,4.5,0.0
CMT,1,1,759,1.6,CRD,10.0,2.1
CMT,1,1,1834,2.5,CSH,19.0,0.0
VTS,1,1,300,1.12,CRD,5.5,0.5
VTS,1,1,1140,4.3,CRD,16.5,3.3
VTS,1,1,420,0.88,CSH,6.5,0.0
VTS,1,1,1920,13.3,CRD,38.5,8.77
VTS,1,1,2520,20.8,CRD,56.5,11.3
CMT,1,1,894,4.8,CSH,16.5,0.0
CMT,1,1,540,1.2,CSH,7.5,0.0
CMT,1,1,684,1.0,CRD,8.5,1.5
CMT,1,1,118,0.2,CSH,3.5,0.0
CMT,1,1,889,2.6,CRD,12.0,2.5
CMT,1,1,889,1.6,CRD,10.0,2.3
CMT,1,1,720,1.4,CRD,9.5,2.2
CMT,1,1,402,1.3,CRD,7.0,1.5
CMT,1,1,574,3.0,CSH,11.5,0.0
CMT,1,1,505,0.9,CRD,7.0,2.25
CMT,1,1,744,1.9,CRD,10.5,2.2
CMT,1,1,384,1.0,CRD,6.0,1.3
CMT,1,1,1961,12.5,CRD,36.0,7.3
CMT,1,1,807,6.1,CRD,19.5,4.1
CMT,1,1,441,1.9,CSH,8.5,0.0
CMT,1,1,227,0.7,CSH,5.0,0.0
CMT,1,2,261,1.1,CSH,5.5,0.0
CMT,1,2,215,0.7,CRD,5.0,1.0
CMT,1,1,384,1.3,CRD,7.0,1.0
CMT,1,1,872,3.7,CRD,14.0,3.0
CMT,1,1,342,0.9,CSH,6.0,0.0
CMT,1,2,1442,7.3,CRD,25.0,6.25
CMT,1,1,408,1.5,CSH,7.0,0.0
CMT,1,2,1641,3.6,CSH,19.0,0.0
CMT,1,1,168,0.6,CSH,4.5,0.0
CMT,1,1,935,3.3,CRD,13.5,2.9
CMT,1,1,313,1.0,CSH,6.0,0.0
CMT,1,1,259,0.9,CSH,5.5,0.0
CMT,1,1,300,1.6,CSH,6.5,0.0
CMT,1,2,658,2.0,CRD,10.0,2.2
CMT,1,2,632,1.7,CSH,9.0,0.0
CMT,1,1,999,3.4,CRD,14.0,3.75
CMT,1,1,1956,9.6,CRD,32.0,1.5
CMT,1,1,734,1.5,CSH,9.5,0.0
CMT,1,2,925,2.1,CSH,12.0,0.0
CMT,1,2,268,0.6,CSH,5.0,0.0
CMT,1,2,635,1.5,CSH,8.5,0.0
VTS,1,1,1380,3.85,CRD,18.0,3.6
VTS,1,1,1320,8.84,CSH,28.0,0.0
VTS,1,1,900,1.92,CSH,11.0,0.0
VTS,1,1,480,1.38,CRD,7.5,1.0
VTS,1,1,780,2.12,CRD,10.0,2.0
VTS,1,1,660,1.57,CSH,9.0,0.0
CMT,1,1,655,3.3,CRD,12.0,2.6
CMT,1,1,506,0.8,CSH,7.0,0.0
CMT,1,1,1621,2.7,CSH,17.5,0.0
CMT,1,1,795,3.0,CRD,12.0,1.0
CMT,1,1,357,1.0,CSH,6.0,0.0
CMT,1,1,573,1.4,CRD,8.0,1.0
CMT,1,1,1059,4.1,CSH,15.5,0.0
CMT,1,3,1471,1.0,CRD,15.0,1.55
CMT,1,1,558,1.4,CRD,8.5,1.5
VTS,1,1,300,1.13,CRD,6.0,1.4
VTS,1,5,480,1.73,CRD,8.5,1.0
VTS,1,5,1020,5.58,CSH,19.0,0.0
VTS,1,5,1260,4.21,CSH,17.5,0.0
VTS,1,5,360,2.02,CRD,7.5,0.0
VTS,1,5,360,1.34,CRD,7.0,1.4
VTS,1,5,420,0.83,CRD,6.0,1.8
VTS,1,5,180,0.46,CSH,3.5,0.0
VTS,1,5,720,1.68,CRD,9.5,1.5
VTS,1,5,240,0.46,CRD,4.5,1.12
VTS,1,5,420,1.06,CSH,6.5,0.0
CMT,1,2,234,0.6,CRD,5.0,1.2
CMT,1,4,1801,2.5,CRD,19.0,5.0
CMT,1,1,652,0.9,CRD,8.5,0.5
CMT,1,1,762,2.5,CRD,11.0,3.45
CMT,1,1,649,4.2,CSH,13.5,0.0
CMT,1,1,1405,7.7,CRD,24.5,5.1
CMT,3,2,1419,15.0,CSH,58.0,0.0
CMT,1,1,701,1.7,CSH,9.5,0.0
VTS,1,1,780,1.61,CRD,10.0,2.5
VTS,1,1,1080,7.8,CSH,24.0,0.0
CMT,1,1,433,0.5,CSH,6.0,0.0
CMT,1,2,1819,5.1,CSH,22.5,0.0
CMT,1,1,148,0.3,CSH,3.5,0.0
CMT,1,1,384,1.3,CSH,7.0,0.0
CMT,1,1,577,2.5,CRD,11.0,2.4
CMT,1,1,1541,3.1,CSH,17.5,0.0
CMT,1,4,967,3.3,CSH,14.5,0.0
CMT,1,2,192,0.4,CSH,4.5,0.0
CMT,1,1,165,0.7,CRD,4.5,1.25
CMT,1,1,242,0.5,CSH,5.0,0.0
CMT,1,1,823,1.7,CSH,10.5,0.0
